checkpoint,mean,std,median,max,min
0.01,0.10699373084516531,0.007901217160639512,0.10510496190197265,0.13029637052879242,0.0975109827468955
0.1,0.10539455287544687,0.007359974005669339,0.10304933319497334,0.11951501379422035,0.09384708925958342
0.2,0.11375175262010967,0.020689922253643713,0.10415798364883183,0.1685855130516827,0.09384708925958342
0.3,0.11251613303994618,0.01866907716448427,0.10467057214413593,0.1685855130516827,0.09384708925958342
0.4,0.11221153972630747,0.018838166034397148,0.1045200739226264,0.1685855130516827,0.09384708925958342
0.5,0.11212691927710726,0.01595492369866219,0.11130853254429468,0.1685855130516827,0.09384708925958342
0.6,0.11271219973783779,0.015872212346801588,0.11169310020074155,0.1685855130516827,0.09384708925958342
0.7,0.1104092439157011,0.009497188956939127,0.11169310020074155,0.12885507326193027,0.09384708925958342
0.8,0.1120958781626761,0.011630793256676106,0.1122816315046036,0.15304089075659236,0.09719609492000973
0.9,0.11438387025092643,0.01508598027513684,0.11350420594163657,0.16255704885554603,0.09719609492000973
1.0,0.11467626743528514,0.015006392252514949,0.11408958992652615,0.16255704885554603,0.09719609492000973
