checkpoint,mean,std,median,max,min
0.01,0.09547049437074925,0.0003553695023677868,0.09550172695139365,0.09598241092317614,0.09491231910572445
0.1,0.08269708412816533,0.00012309572557688597,0.08276170529910037,0.08281993069013911,0.0825188129040426
0.2,0.07606462809855688,0.0004923130631219672,0.07584047375475983,0.0770478357616539,0.07578149145597113
0.3,0.07072664644386742,0.00044937289984972817,0.07057391997238946,0.07161492694755064,0.07040664233621162
0.4,0.06640228949115719,0.00047856369531088856,0.06626747869302282,0.06732656936871263,0.06595590376686784
0.5,0.06278919942134206,0.0005505463222721554,0.06264729656700568,0.06381251439252154,0.0621859424550653
0.6,0.05972518691829528,0.0006397418128686838,0.059518802003985835,0.06088472234886742,0.059001014804944345
0.7,0.057115136779917385,0.0006870584228773635,0.056846925941139305,0.05832527052867089,0.056316208237722966
0.8,0.05489168110464874,0.0007336269216960526,0.05456041446500607,0.05617214342546099,0.05404789317938472
0.9,0.052977301644637355,0.0007485957769996976,0.05262981455765816,0.05428778973107257,0.052138196257588566
1.0,0.0513209598750081,0.0007592807678221882,0.05094988013873459,0.05264671041163612,0.05047759171620182
