checkpoint,mean,std,median,max,min
0.01,0.7834484768485237,0.03347201477158296,0.7791558563389442,0.865111313476685,0.7294353437664315
0.1,0.3881807550632639,0.040902396809556374,0.387325934584936,0.4750303114610438,0.30573112485758014
0.2,0.23918018629220458,0.02997301008467281,0.2381279958408202,0.30013388842454913,0.1824564341101104
0.3,0.17554374862515015,0.025568420292124194,0.17554391285575324,0.22907822777217787,0.12863211974979732
0.4,0.14382550530046323,0.024650262152850766,0.14214577917626012,0.19971171322562173,0.09593404814012071
0.5,0.12563707521059553,0.025154834273677835,0.12092756995954394,0.1788552705318219,0.07640542268203175
0.6,0.11415961963184738,0.026463080995932347,0.11054040298099715,0.16949109505746204,0.06334527417900562
0.7,0.10647768830121751,0.028053001566296847,0.10487709492466928,0.1678260037485721,0.05421990263146937
0.8,0.10100273076869622,0.02971651344975682,0.10099568891343019,0.1672349929833832,0.04787743268191306
0.9,0.09715585441536533,0.03148580600927384,0.09827969049288374,0.169227826809473,0.04254614135185305
1.0,0.09429747263199528,0.03318908570313824,0.09582467626155333,0.1732157595342616,0.038382963056369276
