checkpoint,mean,std,median,max,min
0.01,6.299767851857566,0.5849788481071433,6.274694223266916,7.333557059983884,4.832706265482662
0.1,5.085561570409636,0.5253452186411861,5.161506525426591,6.101062029306887,3.8986515150888637
0.2,4.926774229928242,0.492300368156426,5.103954041736133,5.63664066107075,3.8457082700127856
0.3,4.803028993970853,0.44760178778294185,4.924531267515318,5.3569259209456845,3.8457082700127856
0.4,4.72398759930395,0.4283563394542664,4.746912203220347,5.3569259209456845,3.8457082700127856
0.5,4.508734829211045,0.3977531161500213,4.552027343424542,5.292497269629892,3.6677572881536005
0.6,4.4749107139883195,0.39500045622308066,4.511066337613105,5.292497269629892,3.6677572881536005
0.7,4.438261499394806,0.37575113042441616,4.446448335363241,5.292497269629892,3.6677572881536005
0.8,4.364563007255756,0.3183948956502419,4.375606613623127,5.103954041736133,3.6677572881536005
0.9,4.329285819969677,0.29626712301848185,4.36006520256929,5.103954041736133,3.6677572881536005
1.0,4.28198098543193,0.2685776750856162,4.343162607402438,4.746912203220347,3.6677572881536005
