checkpoint,mean,std,median,max,min
0.01,2.305091320150306,0.039242446062118595,2.3021987293634756,2.4146771032853445,2.2461030731178795
0.1,2.0076000150233995,0.11130803211753901,2.0115985400628094,2.1946549081334314,1.7948057239062596
0.2,2.0663782327616875,0.15567239749844436,2.0854257903656377,2.383612409539846,1.8082620214771317
0.3,2.2289781127954993,0.20585229971615862,2.187698933530551,2.712082787694649,1.919066015000488
0.4,2.3186195351570804,0.2625431408297348,2.2162629047607054,3.0375704423258583,1.9108146103951276
0.5,2.3868662835260452,0.25380974461729816,2.303544899130149,2.9054985853922415,1.9464100174296701
0.6,2.4781223162047157,0.2325356530319842,2.47791434569136,2.8837886087700046,1.9864103528412909
0.7,2.48976288992856,0.2513306276105952,2.427349319198096,2.900822089565571,1.969545340078626
0.8,2.5694319334366087,0.2789127254989686,2.508629098286625,3.072107679439049,2.0039945900601164
0.9,2.639783445141447,0.3078074330222496,2.5974735503976953,3.363900415741176,1.9366637814345486
1.0,2.6932062788036437,0.30526354834558617,2.644665688549314,3.3495434310522025,2.090355022096567
