function,dimensions,checkpoint,mean,std,median,max,min
F242013,10,0.01,236.89404574686722,13.582712112570713,240.08195128080843,256.10548874447386,195.16965198819253
F242013,10,0.1,216.779434146617,17.28438118207877,222.5866299726847,232.7949743695399,147.9294149199568
F242013,10,0.2,214.65970112672693,17.985621372679983,221.61303817508133,232.7949743695399,147.9294149199568
F242013,10,0.3,212.7324385097206,18.18814298861768,219.2047285709084,232.7949743695399,147.9294149199568
F242013,10,0.4,211.21787978234494,19.06895324929346,218.8200495438864,232.07735431102628,147.9294149199568
F242013,10,0.5,209.56158950111922,18.856847120041976,217.1341580945841,232.07735431102628,147.9294149199568
F242013,10,0.6,208.33800423005917,18.751595889524722,216.79369770827702,232.07735431102628,147.9294149199568
F242013,10,0.7,206.77536722084506,18.20347566620475,210.26857005435795,232.07735431102628,147.9294149199568
F242013,10,0.8,203.67087821375392,18.273420292367742,205.17573010792034,232.07735431102628,147.9294149199568
F242013,10,0.9,200.8248990601675,17.099025338443813,202.08111228572534,228.6112873709303,147.9294149199568
F242013,10,1.0,197.0100376338369,16.468397449349368,196.92540778111697,227.78524332118604,147.9294149199568
F242013,30,0.01,396.1586503793509,28.918115310285934,392.0347599693555,495.23780081837003,350.4406165539706
F242013,30,0.1,293.9201525774104,18.67296177608374,292.547259386062,412.93380424855263,270.1869782447975
F242013,30,0.2,283.54343764053976,20.512975653286336,281.6270189167567,412.93380424855263,258.11904477031203
F242013,30,0.3,281.48340371060243,11.261721092680725,281.6270189167567,321.82060131149774,257.7420691967559
F242013,30,0.4,280.9056460397153,9.844100142255817,281.6270189167567,297.62082367132484,257.7420691967559
F242013,30,0.5,280.9056460397153,9.844100142255817,281.6270189167567,297.62082367132484,257.7420691967559
F242013,30,0.6,280.9056460397153,9.844100142255817,281.6270189167567,297.62082367132484,257.7420691967559
F242013,30,0.7,280.9056460397153,9.844100142255817,281.6270189167567,297.62082367132484,257.7420691967559
F242013,30,0.8,280.9056460397153,9.844100142255817,281.6270189167567,297.62082367132484,257.7420691967559
F242013,30,0.9,280.9056460397153,9.844100142255817,281.6270189167567,297.62082367132484,257.7420691967559
F242013,30,1.0,280.9056460397153,9.844100142255817,281.6270189167567,297.62082367132484,257.7420691967559
F242013,50,0.01,758.8513295004323,120.09179811662132,726.068761637895,1070.3622229810912,551.4731928886406
F242013,50,0.1,428.4377806411982,39.47230117834905,415.2660114522537,589.6355180871742,372.05882101892007
F242013,50,0.2,371.10824105250504,28.485530393541637,363.02194681769106,540.047578275412,341.9961213122865
F242013,50,0.3,354.9252624862491,18.097261136463352,352.3241233549752,394.018247833445,323.901145224806
F242013,50,0.4,349.9419621625035,18.931719986827854,346.96375156215004,393.32359869651555,315.9829857473335
F242013,50,0.5,347.6119156487344,19.649770734627825,346.08438451014695,393.32359869651555,307.2366644515505
F242013,50,0.6,347.23371916184084,19.978393717780175,346.08438451014695,393.32359869651555,303.052443855996
F242013,50,0.7,347.23371916184084,19.978393717780175,346.08438451014695,393.32359869651555,303.052443855996
F242013,50,0.8,347.23371916184084,19.978393717780175,346.08438451014695,393.32359869651555,303.052443855996
F242013,50,0.9,347.23371916184084,19.978393717780175,346.08438451014695,393.32359869651555,303.052443855996
F242013,50,1.0,347.23371916184084,19.978393717780175,346.08438451014695,393.32359869651555,303.052443855996
