checkpoint,mean,std,median,max,min
0.01,0.2474843812582258,0.02109773795775476,0.2533903198793605,0.2750380569365745,0.1576514388336536
0.1,0.20524079621535996,0.02266638623472556,0.2076622170120666,0.2519950087954776,0.14101934622588475
0.2,0.17398317905369526,0.02029854957173228,0.17867205830811309,0.21227232042027505,0.13249147269461198
0.3,0.1472007617953933,0.017671928939945885,0.14688463124060522,0.1756298082765363,0.10753706237853877
0.4,0.12425635565026971,0.012753129018501997,0.12432079798542121,0.15135217396905487,0.09303237655903888
0.5,0.10440438272397483,0.015278564858639373,0.10720531745093329,0.13623156160016983,0.058272063456327225
0.6,0.07754145678183622,0.016401254480214213,0.08014576422431537,0.10777022110179661,0.03491220802313115
0.7,0.05591242437091644,0.010670905553471098,0.05739174409173815,0.07324174738098553,0.02747499373108059
0.8,0.037622238839256826,0.009578154336286582,0.03705270337093632,0.06185731482772742,0.019063221194078415
0.9,0.022330839403668205,0.005932991934490811,0.021736403086802168,0.040834925839812776,0.012483948306002185
1.0,0.012475885610614653,0.0026540106474171586,0.01309172728388987,0.01780997372345601,0.007066734489476794
