checkpoint,mean,std,median,max,min
0.01,0.1640688439137853,0.03625747616070003,0.15772365242451392,0.26170662343116186,0.09077293989811315
0.1,0.10118551197845886,0.0325642070325482,0.09500853206200502,0.23777977932219949,0.057007927099153366
0.2,0.07713244589559096,0.022222469930809098,0.07231374525152759,0.12596112586464056,0.03304848157936365
0.3,0.06224655080424524,0.019069580565259085,0.06055327854299523,0.10574017290666447,0.025171021217028793
0.4,0.04763365790178612,0.01553076372629194,0.045780667616206284,0.09042299579789088,0.024654734015563663
0.5,0.039728772354287255,0.01583142195835862,0.03714258243957427,0.09042299579789088,0.007995149539039256
0.6,0.0320651965405447,0.012157950405168172,0.029702301511727827,0.07370555341909378,0.007828403305154023
0.7,0.026238774278012987,0.009568169342890287,0.025305457202033605,0.0508742431266152,0.007828403305154023
0.8,0.02568920457927413,0.013203748963197143,0.023608303279452233,0.08307908880024886,0.007828403305154023
0.9,0.02187751926164086,0.01379759988178893,0.019733658110860253,0.08662414806250533,0.0024851300493681115
1.0,0.019876718617660834,0.015104545657713292,0.015543281310075338,0.08662414806250533,0.0029308452483062077
