checkpoint,mean,std,median,max,min
0.01,0.08245823214330443,0.0014226483199346232,0.08234852235186867,0.08464186147012727,0.07906911443713463
0.1,0.04988304863800666,0.0018329349959086893,0.049923581315103965,0.05300854762719886,0.0468369645795017
0.2,0.038547459016407944,0.0014593686049608884,0.03823552182360461,0.04135578838532971,0.03622564054652267
0.3,0.032550679926550495,0.001211995878274523,0.032104762048230845,0.035266462781092876,0.030405790254750528
0.4,0.028840883650686277,0.0009017877404508247,0.028618367490272013,0.031006270966176388,0.027168364958333267
0.5,0.026472810246732266,0.0006956543207331569,0.026378234418323487,0.0282746438440975,0.0251071656421124
0.6,0.02475648090269317,0.000572086627383795,0.024776913760695116,0.02622396120422918,0.023613454632712534
0.7,0.0235524773562264,0.0005127262778178283,0.023487493878697658,0.024917274793034353,0.022590730395241797
0.8,0.02254587473451767,0.0004246070277176142,0.022561515663541913,0.023632868750418,0.021654130755032298
0.9,0.021783967525237626,0.000374332720068763,0.021756705100710927,0.022679779781768276,0.021017943285222856
1.0,0.02112949013463616,0.0003405646267169676,0.021060579174371742,0.021885302863675713,0.020519871990467665
