algorithm,run,checkpoint,error
adam,6,0.8,"[(0.033333333333333326, 0.01964751964985757, 2.3223917484283447)]"
adam,6,0.9,"[(0.033333333333333326, 0.019121231824868405, 2.6057159900665283)]"
adam,6,1.0,"[(0.033333333333333326, 0.01888386038849073, 2.88932204246521)]"
adam,7,0.01,"[(0.8333333333333334, 0.26973774553225144, 0.028966665267944336)]"
adam,7,0.1,"[(0.06666666666666665, 0.12582053542463975, 0.34407615661621094)]"
adam,7,0.2,"[(0.033333333333333326, 0.050608105425603594, 0.629206657409668)]"
adam,7,0.3,"[(0.033333333333333326, 0.028802068965716583, 0.9129219055175781)]"
adam,7,0.4,"[(0.033333333333333326, 0.021861761607540622, 1.1975626945495605)]"
adam,7,0.5,"[(0.033333333333333326, 0.018829498838607836, 1.4815237522125244)]"
adam,7,0.6,"[(0.033333333333333326, 0.017436645724733482, 1.7637360095977783)]"
adam,7,0.7,"[(0.033333333333333326, 0.01675942443464678, 2.045940399169922)]"
adam,7,0.8,"[(0.033333333333333326, 0.01640454387529946, 2.329226493835449)]"
adam,7,0.9,"[(0.033333333333333326, 0.016458223842734668, 2.6109538078308105)]"
adam,7,1.0,"[(0.033333333333333326, 0.016601819520291446, 2.8925180435180664)]"
adam,8,0.01,"[(0.8666666666666667, 0.25959618396580053, 0.028986215591430664)]"
adam,8,0.1,"[(0.033333333333333326, 0.14817044006866717, 0.38356995582580566)]"
adam,8,0.2,"[(0.033333333333333326, 0.06668863649650746, 0.7269847393035889)]"
adam,8,0.3,"[(0.033333333333333326, 0.03831833490522424, 1.0112051963806152)]"
adam,8,0.4,"[(0.033333333333333326, 0.027433080302580588, 1.2982807159423828)]"
adam,8,0.5,"[(0.033333333333333326, 0.02251145355106504, 1.583397626876831)]"
adam,8,0.6,"[(0.033333333333333326, 0.01971830384443665, 1.8668110370635986)]"
adam,8,0.7,"[(0.033333333333333326, 0.01762304903501018, 2.150564670562744)]"
adam,8,0.8,"[(0.0, 0.016359936275680973, 2.435251474380493)]"
adam,8,0.9,"[(0.033333333333333326, 0.016822173474303963, 2.718519926071167)]"
adam,8,1.0,"[(0.06666666666666665, 0.02005494337868173, 3.0019145011901855)]"
adam,9,0.01,"[(0.8, 0.25641645322396756, 0.03477835655212402)]"
adam,9,0.1,"[(0.033333333333333326, 0.1362515383260658, 0.3547694683074951)]"
adam,9,0.2,"[(0.033333333333333326, 0.06256495146238408, 0.6965723037719727)]"
adam,9,0.3,"[(0.033333333333333326, 0.037021029041004246, 1.0370948314666748)]"
