checkpoint,mean,std,median,max,min
0.01,0.26060895481782376,0.008667227935472475,0.25959618396580053,0.27641084709549896,0.24095523398791535
0.1,0.13506749728438913,0.017897150640827045,0.1355054129538259,0.16340466552022115,0.07419876219316551
0.2,0.0643525179516198,0.0121712419190179,0.06527808016578202,0.08524449284847,0.023387094467472537
0.3,0.042100533022553746,0.011053615771008248,0.04179815876728883,0.06427479544175459,0.010965405095030951
0.4,0.034132287166279945,0.011666637788509623,0.03270219108998927,0.05776137649009962,0.006871070892848705
0.5,0.03061497334292804,0.012380295093219418,0.028752050731530664,0.0584519024297922,0.005083219781824042
0.6,0.028629221597847282,0.012942575347968409,0.026491672972719767,0.05918658429813459,0.003756308047556921
0.7,0.027282967755541856,0.013482389391007899,0.024995170777596307,0.05954113099675829,0.0028705608369092492
0.8,0.026363795992990102,0.014058747155272368,0.023859159274255554,0.05927947246146,0.002129181183193048
0.9,0.025637997648903794,0.014563264894056085,0.023031293023783168,0.05876414288675206,0.0015769411389778393
1.0,0.025057132343899873,0.014938222721306826,0.022335255611962958,0.0579923702225764,0.0011949126886992838
