function,dimensions,checkpoint,mean,std,median,max,min
F282013,10,0.01,5968.770012127521,23637.29016047355,2413.161178379621,172573.11506754137,626.9174373599108
F282013,10,0.1,1982.0234550511889,1595.4132875502455,1498.1675903650435,6164.207347427893,101.02922771485214
F282013,10,0.2,1883.2649076345178,1521.5953370230268,1486.7709477198323,6164.207347427893,100.01229739012251
F282013,10,0.3,1850.9610816345312,1499.6426503893945,1486.770457401417,6164.207347427893,100.00029982436013
F282013,10,0.4,1776.4928798290596,1437.9397635796558,1486.770457401417,6164.207347427893,100.00000670341205
F282013,10,0.5,1753.383722343879,1427.7883748537706,1486.770457401417,6164.207347427893,100.00000015842716
F282013,10,0.6,1738.1386700804287,1430.3824851756758,1420.6013064855824,6164.207347427893,100.00000015842716
F282013,10,0.7,1737.994689178627,1430.3176305446636,1420.6013064855824,6164.207347427893,100.00000015842716
F282013,10,0.8,1734.8885885664597,1431.726192048402,1420.6013064855824,6164.207347427893,100.00000015842716
F282013,10,0.9,1734.8326544960528,1431.7537246735483,1420.6013064855824,6164.207347427893,100.00000015842716
F282013,10,1.0,1734.8318929945492,1431.7541601429461,1420.6013064855824,6164.207347427893,100.00000015842716
F282013,30,0.01,273747372.23471075,1863446343.9845262,29434.774373945016,13445549172.032104,8247.648807545474
F282013,30,0.1,221899185.5335575,1502048254.5709527,20388.327555529904,10837829958.26354,7642.819627517612
F282013,30,0.2,49006022.81690578,300224876.14278257,17992.336441365904,2161145318.2208505,7210.6793734200655
F282013,30,0.3,43319091.025822826,271168107.6181981,12973.002450556702,1954822549.843811,6371.766482613926
F282013,30,0.4,33891070.29189569,218804114.73013273,12223.703210383019,1577649625.5190341,6117.873749239903
F282013,30,0.5,1361156.2996273763,4271913.068527263,11354.343022451036,22126841.90546009,4625.51698715718
F282013,30,0.6,924837.7795589278,3094307.307374702,11172.252873114,14117831.978224728,4595.164596935095
F282013,30,0.7,890642.534398553,2977270.522729313,10795.747157017875,14117831.978224728,4416.729561308153
F282013,30,0.8,683533.4814922431,2645954.9632368824,10642.620448082687,14117831.978224728,4338.1460096909905
F282013,30,0.9,682978.8316618532,2646094.9243861707,10190.537475441608,14117831.978224728,4258.4246229177015
F282013,30,1.0,682882.6196160698,2646119.456622421,9839.619960252867,14117831.978224728,4186.8791445003135
F282013,50,0.01,359570213586.8729,1903213445415.52,947695.105457735,12608385316456.148,23382.42583039828
F282013,50,0.1,247779718203.44156,1746619184935.421,946872.118185626,12598229374575.129,9095.821051489545
F282013,50,0.2,142459932995.0208,1002218546744.9536,898453.0248917979,7229194945347.257,8762.362231683624
F282013,50,0.3,349025870.2325206,1803103369.2915614,607774.5005190176,12814030415.519249,8031.921563917702
F282013,50,0.4,307324030.5396556,1757144160.2119012,355059.4517628321,12571383538.920984,7314.950066895453
F282013,50,0.5,268727653.7964762,1498291449.8950534,318931.64061230875,10675764114.129976,7246.768366733264
F282013,50,0.6,267268785.8667338,1488791158.9725304,307715.9410231868,10605920558.908068,6040.151785290206
F282013,50,0.7,251761011.6654164,1382359919.3883197,216800.7686630178,9823529928.462658,5841.829362246007
F282013,50,0.8,147677891.95246062,696572712.4821239,216121.98869425346,4657637490.817117,5829.574439944031
F282013,50,0.9,124557186.98212022,557861438.376459,171619.79880630804,3536585018.927023,5812.695452134409
F282013,50,1.0,110318997.63869485,473751342.03249174,166997.375224794,2812800287.277391,5789.265598470265
