checkpoint,mean,std,median,max,min
0.01,26141.453828392256,240.84499800263958,26147.624437942235,26647.692649862784,25652.072596668746
0.1,7989.018010173574,107.59825862025625,8002.7510778119085,8235.343704233172,7787.156961785577
0.2,6028.079804415277,144.43049372725957,6000.5835777877855,6389.190789208794,5728.479992395508
0.3,5294.199982835144,107.85235481743217,5279.88521271078,5470.641577419116,5052.2793403889345
0.4,4945.6912283529355,119.75463720430746,4938.95182573083,5266.485842658091,4750.940265845754
0.5,4699.642034797047,132.59687445847462,4677.356470318169,5160.707788020132,4521.682508301488
0.6,4548.371329858711,135.9420757746671,4514.039730778831,4858.04494363308,4391.466869964495
0.7,4407.472061931691,132.17489464878707,4423.026312312766,4697.841337974078,4141.825942339712
0.8,4334.853466754398,180.20070166026963,4318.123653104515,4783.18180857563,4036.1532091682197
0.9,4206.082686303162,137.53211504934112,4179.260789180429,4675.388240833745,3988.4400648045257
1.0,4185.307156080642,149.50309034426397,4159.246693413506,4723.262211026862,3961.470928079079
