checkpoint,mean,std,median,max,min
0.01,0.7031854439079591,0.05141080865419276,0.6912839395395162,0.8805806877947245,0.6226931281229474
0.1,0.3350587033943419,0.041768399196181395,0.3357306128534864,0.4213950635955707,0.2305574539832153
0.2,0.20835198717968265,0.036423922117523565,0.21197073375290865,0.2762940860433174,0.13414047335960202
0.3,0.15349513856663904,0.03352290182969987,0.15272522708725206,0.2171857102874119,0.08782163937805734
0.4,0.1263115175781737,0.032822287830090266,0.12631784624741624,0.19268698119309643,0.06569316531646557
0.5,0.11092055525873308,0.03286989998928488,0.10984796369718518,0.1789584487854088,0.053130079583642256
0.6,0.10146709109069338,0.03349508907621624,0.09923862222371206,0.17531054721844605,0.04521022784057015
0.7,0.09519915138822097,0.03440780874445242,0.09219275100736216,0.17476966518870973,0.039582663466626235
0.8,0.09099068873148525,0.03554013218138252,0.08809187458105261,0.17578211841168165,0.035314033994236646
0.9,0.08800906166854723,0.03664963821410952,0.08590269375140688,0.17806667300712095,0.032001732278163685
1.0,0.08594891723513723,0.037908482679240234,0.08450281870954389,0.18100895950837834,0.02924373885156257
