checkpoint,mean,std,median,max,min
0.01,0.5431811630795224,0.04743567623134221,0.5508648397581706,0.6528116711258737,0.42626179586754903
0.1,0.12596711387760606,0.034168281835882455,0.1209358600983336,0.2418636951397493,0.05866495852898534
0.2,0.10257906255682389,0.04634302849949708,0.0963860481647806,0.26595138372854765,0.02795467908142976
0.3,0.1040306028552026,0.05761608598148228,0.10165283353608262,0.315596104430062,0.017976130095386053
0.4,0.11076242698034604,0.0678078966711747,0.10958446091770384,0.36013914818424986,0.013515785897592445
0.5,0.11878335383913761,0.07708210772514927,0.12009867853411185,0.39627785622087175,0.01112053474029921
0.6,0.1268107078318051,0.08543897515992104,0.12804760102538582,0.42569704030962285,0.00970539923952886
0.7,0.13450014296663335,0.09295793957794547,0.13948565241359184,0.4501648349891305,0.008780013286941165
0.8,0.14176751120934766,0.09944106015660296,0.14268389981674376,0.4707981611296045,0.008104198196545028
0.9,0.14852730932998884,0.1050452103555227,0.1472471897318083,0.48856385300061833,0.007627870016222187
1.0,0.1550505853029974,0.10994446710336618,0.15252426083349366,0.5041346784627044,0.007253380222850956
