checkpoint,mean,std,median,max,min
0.01,0.19348384687774223,0.020778752457946865,0.18976166119314467,0.23040144304841473,0.14441979458054663
0.1,0.06931907619141733,0.023732405586172102,0.06398161657678215,0.13179072051221719,0.02823610316879172
0.2,0.02550550165451517,0.014999123066040338,0.023425729090784164,0.11231598839645973,0.008228279248563364
0.3,0.02050887454689154,0.008813552080677028,0.019266606956636165,0.03857655727481668,0.005728732747583703
0.4,0.019337840589148416,0.009222401637689835,0.01841422995785349,0.04054768939990093,0.0045440971448265375
0.5,0.018595644375439566,0.009533098495846517,0.017825533584669647,0.04214450038758138,0.0037846729462099795
0.6,0.01804757311349332,0.009849005282038794,0.016481999195804425,0.04348226668209012,0.003245599448940924
0.7,0.01763782759978122,0.01019823210223728,0.015540243234822263,0.044726919338022496,0.0028434030157069327
0.8,0.017360907151126117,0.01056241178543049,0.015006178230991778,0.04588052763389912,0.002542087845249971
0.9,0.017185187949166274,0.010923730195771121,0.014551082243455417,0.04697331356216804,0.0023078265450643004
1.0,0.01708202411111088,0.011278633954414077,0.01415496903598455,0.04802984456018485,0.002120026493893084
