checkpoint,mean,std,median,max,min
0.01,0.7884356231723633,0.028759003986741152,0.7852193973165638,0.8801328749163816,0.7296585278980804
0.1,0.09849900774440801,0.040364617904233124,0.09037807306403788,0.23718427433495082,0.034966084209643984
0.2,0.0811436006563607,0.07266332655153536,0.06108176281419642,0.4422133126153689,0.009245936089569662
0.3,0.09891526545294624,0.10240250948450012,0.06262058367686789,0.5907120956037161,0.0049041110872437305
0.4,0.11788349964623805,0.12875686230095984,0.06416465037117178,0.689455953001946,0.003545495512580106
0.5,0.1315767470037796,0.1465236145383715,0.06777747764509715,0.7588276087382777,0.0028973379175496676
0.6,0.14896831520130432,0.16017451656306833,0.0784387846302203,0.8111197014846953,0.0026438342574117103
0.7,0.1780719835187006,0.1782327223812292,0.08734398792503578,0.8530293070371192,0.0026931215780402235
0.8,0.20225850733460043,0.19940805942806067,0.09990529822631884,0.8880005973072769,0.0028075310604866403
0.9,0.23199101117752294,0.23074159964336968,0.1028749424301819,0.9183390740671146,0.0023329077580053806
1.0,0.27155354632247775,0.2756660833290535,0.1370165578108083,0.988105475342362,0.0028222951562988504
