algorithm,run,checkpoint,error
adam,6,0.8,"[(0.033333333333333326, 0.3235959412629786, 0.7171876430511475)]"
adam,6,0.9,"[(0.033333333333333326, 0.3343274826405757, 0.8066420555114746)]"
adam,6,1.0,"[(0.033333333333333326, 0.3437252487334419, 0.896141529083252)]"
adam,7,0.01,"[(0.23333333333333328, 0.7738393438940784, 0.009552478790283203)]"
adam,7,0.1,"[(0.0, 0.0696974299659935, 0.09549164772033691)]"
adam,7,0.2,"[(0.0, 0.035612012012295344, 0.1848924160003662)]"
adam,7,0.3,"[(0.0, 0.03332623087821655, 0.2750833034515381)]"
adam,7,0.4,"[(0.0, 0.0325646205295768, 0.36502885818481445)]"
adam,7,0.5,"[(0.0, 0.03155550231339401, 0.4545459747314453)]"
adam,7,0.6,"[(0.0, 0.03085404643211415, 0.5437278747558594)]"
adam,7,0.7,"[(0.0, 0.030899396928530765, 0.6327872276306152)]"
adam,7,0.8,"[(0.0, 0.030375999040690462, 0.7230150699615479)]"
adam,7,0.9,"[(0.0, 0.032208181208830615, 0.8131816387176514)]"
adam,7,1.0,"[(0.033333333333333326, 0.028588343121354907, 0.9035327434539795)]"
adam,8,0.01,"[(0.30000000000000004, 0.7542088119721068, 0.009519338607788086)]"
adam,8,0.1,"[(0.0, 0.050902247479459053, 0.08992552757263184)]"
adam,8,0.2,"[(0.0, 0.021637270011804544, 0.18049120903015137)]"
adam,8,0.3,"[(0.0, 0.016695123212302775, 0.27075743675231934)]"
adam,8,0.4,"[(0.0, 0.01486626264754936, 0.35927271842956543)]"
adam,8,0.5,"[(0.0, 0.013790879823715371, 0.4486384391784668)]"
adam,8,0.6,"[(0.0, 0.013339274161348317, 0.5390772819519043)]"
adam,8,0.7,"[(0.0, 0.013790976364569047, 0.6297948360443115)]"
adam,8,0.8,"[(0.0, 0.01789031101486149, 0.7196903228759766)]"
adam,8,0.9,"[(0.033333333333333326, 0.049098958970954044, 0.8104841709136963)]"
adam,8,1.0,"[(0.033333333333333326, 0.17120301477605074, 0.8999488353729248)]"
adam,9,0.01,"[(0.43333333333333335, 0.806444435465153, 0.00954294204711914)]"
adam,9,0.1,"[(0.06666666666666665, 0.11205907528693398, 0.09127521514892578)]"
adam,9,0.2,"[(0.033333333333333326, 0.05180513517655663, 0.18120336532592773)]"
adam,9,0.3,"[(0.033333333333333326, 0.042634598720655885, 0.27298927307128906)]"
adam,9,0.4,"[(0.033333333333333326, 0.0461673548471708, 0.36277031898498535)]"
adam,9,0.5,"[(0.033333333333333326, 0.056837440637955164, 0.45391297340393066)]"
adam,9,0.6,"[(0.06666666666666665, 0.13762770341747568, 0.5438318252563477)]"
adam,9,0.7,"[(0.06666666666666665, 0.24489795054460936, 0.6349778175354004)]"
adam,9,0.8,"[(0.06666666666666665, 0.2913261269093761, 0.7244627475738525)]"
adam,9,0.9,"[(0.06666666666666665, 0.30478990687004853, 0.8148136138916016)]"
adam,9,1.0,"[(0.06666666666666665, 0.30679551213043194, 0.9060633182525635)]"
adam,10,0.01,"[(0.2666666666666667, 0.7777655811293265, 0.009259462356567383)]"
adam,10,0.1,"[(0.06666666666666665, 0.11717301295732771, 0.08901524543762207)]"
adam,10,0.2,"[(0.0, 0.05935768464224488, 0.1781766414642334)]"
adam,10,0.3,"[(0.0, 0.05278668270348265, 0.2672700881958008)]"
adam,10,0.4,"[(0.033333333333333326, 0.052643721586855194, 0.3562905788421631)]"
adam,10,0.5,"[(0.033333333333333326, 0.053125417154763634, 0.44534969329833984)]"
adam,10,0.6,"[(0.033333333333333326, 0.06533961491135573, 0.5343835353851318)]"
adam,10,0.7,"[(0.033333333333333326, 0.22227997339385708, 0.6238760948181152)]"
adam,10,0.8,"[(0.033333333333333326, 0.33104269067309444, 0.7128939628601074)]"
adam,10,0.9,"[(0.06666666666666665, 0.44230431751981925, 0.8032171726226807)]"
adam,10,1.0,"[(0.09999999999999998, 0.6345935925223417, 0.8938956260681152)]"
adam,11,0.01,"[(0.4, 0.7949371622229804, 0.009479761123657227)]"
adam,11,0.1,"[(0.06666666666666665, 0.14636700641345035, 0.09099268913269043)]"
adam,11,0.2,"[(0.033333333333333326, 0.16228887714186827, 0.18093395233154297)]"
adam,11,0.3,"[(0.06666666666666665, 0.1966612391896466, 0.2697458267211914)]"
adam,11,0.4,"[(0.06666666666666665, 0.23714434250836783, 0.3584554195404053)]"
adam,11,0.5,"[(0.06666666666666665, 0.2810847302834426, 0.44818568229675293)]"
adam,11,0.6,"[(0.06666666666666665, 0.3293394601712976, 0.5372798442840576)]"
adam,11,0.7,"[(0.06666666666666665, 0.3832197677176505, 0.6271471977233887)]"
adam,11,0.8,"[(0.06666666666666665, 0.4412927872816566, 0.7161757946014404)]"
adam,11,0.9,"[(0.06666666666666665, 0.5007311907655473, 0.8060383796691895)]"
adam,11,1.0,"[(0.06666666666666665, 0.557811832108004, 0.8953800201416016)]"
adam,12,0.01,"[(0.3666666666666667, 0.7679273878130044, 0.018717527389526367)]"
