checkpoint,mean,std,median,max,min
0.01,0.14286857142857143,0.03519424628300159,0.1405,0.21278571428571427,0.08407142857142857
0.1,0.15093142857142858,0.0325030452576433,0.14257142857142857,0.25192857142857145,0.10607142857142857
0.2,0.2215714285714286,0.02904959165823513,0.2235,0.3032142857142857,0.16742857142857143
0.3,0.28100285714285717,0.047470039874791405,0.28985714285714287,0.36042857142857143,0.18035714285714285
0.4,0.29994,0.04361206854127627,0.3032142857142857,0.36228571428571427,0.19085714285714286
0.5,0.3074142857142857,0.0462327607142955,0.31685714285714284,0.3653571428571429,0.19085714285714286
0.6,0.3232142857142858,0.053100417001321995,0.3282857142857143,0.40585714285714286,0.19085714285714286
0.7,0.3294542857142857,0.048714511436427195,0.34085714285714286,0.40585714285714286,0.19085714285714286
0.8,0.3384057142857143,0.049738256618307115,0.3414285714285714,0.40585714285714286,0.19085714285714286
0.9,0.3385228571428571,0.04896971042160154,0.3467142857142857,0.40585714285714286,0.19085714285714286
1.0,0.3446485714285714,0.04117219152658796,0.34885714285714287,0.40585714285714286,0.19085714285714286
