checkpoint,mean,std,median,max,min
0.01,0.019819857243468,0.0005715551671099183,0.019749383628502832,0.021388186655738627,0.018873962500002128
0.1,0.012018268381425274,0.0005453125060078774,0.011917746936996428,0.013196187278861368,0.011208089305832433
0.2,0.011400532686203358,0.00035705676577082876,0.011494199344251362,0.01209554737041843,0.010691112513278601
0.3,0.011291961462627844,0.0004439745347691385,0.011363346625202456,0.012294034940412818,0.010375947605017874
0.4,0.011211863981855436,0.000448389092382069,0.01121385966546655,0.012470040518539624,0.010220423635016209
0.5,0.011225593224788779,0.00030395034666681574,0.0112530726581411,0.01186452239012708,0.010580172635486725
0.6,0.011329767062700844,0.000356793568283306,0.011312218475274364,0.01180992892179712,0.010309294825690686
0.7,0.011367421495597474,0.00025455704143462584,0.011395334617983687,0.01182095488679748,0.01073472043693848
0.8,0.011426257531206215,0.0003678773326701783,0.011416035792760206,0.012196140900370366,0.010830757128811356
0.9,0.011584271687874211,0.0003908133239141541,0.011484309841419873,0.012525975844906579,0.010901865851203918
1.0,0.011675581924412513,0.00034569124785570365,0.011679321388412925,0.012742169179507455,0.01119095790904995
