checkpoint,mean,std,median,max,min
0.01,0.1879843889265555,0.14006887702002246,0.18583576200782878,0.32985714285714285,0.047646755134524814
0.1,0.09782079416794016,0.07267408667027597,0.09533755097768876,0.17242857142857138,0.024734973055045188
0.2,0.08349934681542612,0.06194962621945289,0.08180919318309667,0.14814285714285713,0.02135748736147307
0.3,0.07736126118846881,0.057340181117024665,0.07626685142595668,0.13707142857142862,0.019805184289355616
0.4,0.07354051004893343,0.05444308439242217,0.07267294449519719,0.13057142857142856,0.01883532548609286
0.5,0.07090114642921333,0.052452954609669096,0.07003055806020081,0.12571428571428567,0.018152184817442563
0.6,0.06894215584999977,0.050983478775259064,0.06825398478843793,0.12228571428571433,0.01764618125416233
0.7,0.06743169706844664,0.04984806771520985,0.06649500444692782,0.11885714285714288,0.017241164141565412
0.8,0.0663386060462339,0.049070074255269686,0.0654087401981161,0.1171428571428571,0.016919983368026453
0.9,0.06532040464878544,0.048314295838688064,0.0645632819962491,0.11521428571428571,0.016643992810126212
1.0,0.0643309608121663,0.04755668330806115,0.06327354223400967,0.11464285714285716,0.01640903632516852
