checkpoint,mean,std,median,max,min
0.01,0.08351614584883656,0.0017673931740832098,0.08367884529874722,0.08727752123958707,0.07985619703014572
0.1,0.037318156685849924,0.0012429518614178662,0.03708438392346065,0.040371110312486774,0.035439530462739136
0.2,0.02797680472562994,0.0009072235333840047,0.0277823334116869,0.030514849776710266,0.02671983260050966
0.3,0.024422643156780475,0.0008429654933591883,0.024369547991065568,0.026606116359462837,0.023185730721941855
0.4,0.022303859690609253,0.0007256567417806297,0.02223233644314263,0.02463039378939446,0.021424217978562234
0.5,0.020952772514764077,0.0006686374062012486,0.020842303307630313,0.022942501816405513,0.02004600337335819
0.6,0.020037934820534984,0.0006092307095140766,0.02004382878397607,0.0219485802093385,0.019053879773732466
0.7,0.019271418413815772,0.0006265762004347567,0.01922546779952627,0.020946002153361544,0.018319978310019996
0.8,0.018695578474554005,0.0005231694063569974,0.018642371382748216,0.020150319230659443,0.017784779909302228
0.9,0.01822593562912684,0.0005875288928691033,0.01826627310597016,0.02007327749936015,0.01738107370124765
1.0,0.01774887851881958,0.00047649807999173427,0.01777872237848634,0.019175120213879016,0.017023717609368643
