function,dimension,run,checkpoint,error
F102013,10,0,0.01,"[1.3629349801397552, 0.920322772115469]"
F102013,10,0,0.1,"[0.03200611038528223, 7.8292823429219425]"
F102013,10,0,0.2,"[0.03200611038528223, 13.12844559410587]"
F102013,10,0,0.3,"[0.03200611038528223, 16.62590422993526]"
F102013,10,0,0.4,"[0.03200611038528223, 23.07184380898252]"
F102013,10,0,0.5,"[0.03200611038528223, 30.14569066790864]"
F102013,10,0,0.6,"[0.03200611038528223, 36.51846225792542]"
F102013,10,0,0.7,"[0.03200611038528223, 42.86440285621211]"
F102013,10,0,0.8,"[0.03200611038528223, 49.13327053422108]"
F102013,10,0,0.9,"[0.03200611038528223, 55.538845809176564]"
F102013,10,0,1.0,"[0.03200611038528223, 60.55550668621436]"
F102013,10,1,0.01,"[1.6767186706247799, 0.9730307697318494]"
F102013,10,1,0.1,"[0.01722629385972141, 6.993933469057083]"
F102013,10,1,0.2,"[0.01722629385972141, 13.411369305104017]"
F102013,10,1,0.3,"[0.01722629385972141, 20.193834037985653]"
F102013,10,1,0.4,"[0.01722629385972141, 26.70297528570518]"
F102013,10,1,0.5,"[0.01722629385972141, 33.32291259197518]"
F102013,10,1,0.6,"[0.01722629385972141, 40.01127304090187]"
F102013,10,1,0.7,"[0.01722629385972141, 46.339384661987424]"
F102013,10,1,0.8,"[0.01722629385972141, 52.147156302817166]"
F102013,10,1,0.9,"[0.01722629385972141, 58.44496897980571]"
F102013,10,1,1.0,"[0.01722629385972141, 62.851739218924195]"
F102013,10,2,0.01,"[1.070386973048187, 0.9728404418565333]"
F102013,10,2,0.1,"[0.00985728460784685, 7.752758104819804]"
F102013,10,2,0.2,"[0.00985728460784685, 14.7873649680987]"
F102013,10,2,0.3,"[0.00985728460784685, 21.185297627002]"
F102013,10,2,0.4,"[0.00985728460784685, 28.5412998017855]"
F102013,10,2,0.5,"[0.00985728460784685, 35.73662404809147]"
F102013,10,2,0.6,"[0.00985728460784685, 42.10022486699745]"
F102013,10,2,0.7,"[0.00985728460784685, 47.599368422757834]"
F102013,10,2,0.8,"[0.00985728460784685, 52.936077747959644]"
F102013,10,2,0.9,"[0.00985728460784685, 58.72570297680795]"
F102013,10,2,1.0,"[0.00985728460784685, 62.47665933612734]"
F102013,10,3,0.01,"[0.9615240230650102, 0.5888740359805524]"
F102013,10,3,0.1,"[0.014779776754835439, 7.172122531104833]"
F102013,10,3,0.2,"[0.014779776754835439, 14.308141340035945]"
F102013,10,3,0.3,"[0.014779776754835439, 20.631828512996435]"
F102013,10,3,0.4,"[0.014779776754835439, 26.9183877161704]"
F102013,10,3,0.5,"[0.014779776754835439, 32.85407679108903]"
F102013,10,3,0.6,"[0.014779776754835439, 39.56594396196306]"
F102013,10,3,0.7,"[0.014779776754835439, 45.8878632131964]"
F102013,10,3,0.8,"[0.014779776754835439, 51.237409248016775]"
F102013,10,3,0.9,"[0.014779776754835439, 57.43219965789467]"
F102013,10,3,1.0,"[0.014779776754835439, 62.43695143889636]"
F102013,10,4,0.01,"[1.133718187338502, 0.9741587648168206]"
F102013,10,4,0.1,"[0.007396040334128884, 5.03800473921001]"
F102013,10,4,0.2,"[0.007396040334128884, 11.792992266826332]"
F102013,10,4,0.3,"[0.007396040334128884, 17.50815833499655]"
F102013,10,4,0.4,"[0.007396040334128884, 22.86904598819092]"
F102013,10,4,0.5,"[0.007396040334128884, 26.784979303833097]"
F102013,10,4,0.6,"[0.007396040334128884, 32.00549559900537]"
F102013,10,4,0.7,"[0.007396040334128884, 39.90254994807765]"
F102013,10,4,0.8,"[0.007396040334128884, 46.80627708416432]"
F102013,10,4,0.9,"[0.007396040334128884, 53.50950903398916]"
F102013,10,4,1.0,"[0.007396040334128884, 59.84886590903625]"
F102013,10,5,0.01,"[1.2066816144587733, 0.5962727200239897]"
F102013,10,5,0.1,"[0.022126733432912715, 6.87421251507476]"
F102013,10,5,0.2,"[0.022126733432912715, 13.649545853026211]"
F102013,10,5,0.3,"[0.022126733432912715, 20.127271522767842]"
F102013,10,5,0.4,"[0.022126733432912715, 26.57762704277411]"
F102013,10,5,0.5,"[0.022126733432912715, 33.10679894313216]"
F102013,10,5,0.6,"[0.022126733432912715, 39.40591325098649]"
F102013,10,5,0.7,"[0.022126733432912715, 45.72118978295475]"
F102013,10,5,0.8,"[0.022126733432912715, 52.044212117791176]"
F102013,10,5,0.9,"[0.022126733432912715, 58.34399042185396]"
F102013,10,5,1.0,"[0.022126733432912715, 63.174055085051805]"
F102013,10,6,0.01,"[1.132499038187973, 0.7190064219757915]"
F102013,10,6,0.1,"[0.012320988875103467, 6.809122991748154]"
F102013,10,6,0.2,"[0.012320988875103467, 13.283125533722341]"
F102013,10,6,0.3,"[0.012320988875103467, 19.418766973074526]"
F102013,10,6,0.4,"[0.012320988875103467, 25.820434028748423]"
F102013,10,6,0.5,"[0.012320988875103467, 32.56774411397055]"
F102013,10,6,0.6,"[0.012320988875103467, 39.202345591038465]"
F102013,10,6,0.7,"[0.012320988875103467, 45.516214420087636]"
F102013,10,6,0.8,"[0.012320988875103467, 51.52206285484135]"
F102013,10,6,0.9,"[0.012320988875103467, 57.87557616503909]"
F102013,10,6,1.0,"[0.012320988875103467, 61.92077969806269]"
F102013,10,7,0.01,"[1.0551587657398613, 0.9865838140249252]"
F102013,10,7,0.1,"[0.009864672061041801, 6.097863798961043]"
F102013,10,7,0.2,"[0.009864672061041801, 13.817898156121373]"
F102013,10,7,0.3,"[0.009864672061041801, 20.34576491313055]"
F102013,10,7,0.4,"[0.009864672061041801, 25.88588078180328]"
