algorithm,run,checkpoint,error
adam,6,0.8,"[(0.08421428571428569, 0.28981755377928897, 426.5484459400177)]"
adam,6,0.9,"[(0.08285714285714285, 0.2831467503631068, 483.44033908843994)]"
adam,6,1.0,"[(0.07978571428571424, 0.2772702523145102, 535.7501170635223)]"
adam,7,0.01,"[(0.37664285714285717, 1.38015053058645, 6.173471927642822)]"
adam,7,0.1,"[(0.12107142857142861, 0.4085087170910422, 39.917871713638306)]"
adam,7,0.2,"[(0.10292857142857148, 0.3438611102295983, 92.43750262260437)]"
adam,7,0.3,"[(0.0962142857142857, 0.32281832699115676, 149.9645550251007)]"
adam,7,0.4,"[(0.09492857142857147, 0.320213156752913, 207.9333369731903)]"
adam,7,0.5,"[(0.09464285714285714, 0.31643169900616885, 264.9327919483185)]"
adam,7,0.6,"[(0.09742857142857142, 0.32209406077212094, 329.22680163383484)]"
adam,7,0.7,"[(0.08514285714285719, 0.28713879965063793, 385.21669363975525)]"
adam,7,0.8,"[(0.0892857142857143, 0.2984522098917484, 441.47386932373047)]"
adam,7,0.9,"[(0.08299999999999996, 0.2801787175679508, 501.2077510356903)]"
adam,7,1.0,"[(0.08607142857142858, 0.28231742785340025, 549.7223777770996)]"
adam,8,0.01,"[(0.3831428571428571, 1.3725626364603636, 7.5588178634643555)]"
adam,8,0.1,"[(0.13028571428571434, 0.4356283125597516, 46.47239637374878)]"
adam,8,0.2,"[(0.11121428571428571, 0.37722849138733205, 104.80242419242859)]"
adam,8,0.3,"[(0.10092857142857148, 0.34220202807277184, 155.92711067199707)]"
adam,8,0.4,"[(0.09285714285714286, 0.3180518368450164, 215.71612119674683)]"
adam,8,0.5,"[(0.09207142857142858, 0.30789708943477057, 271.3459997177124)]"
adam,8,0.6,"[(0.08885714285714286, 0.3033369520095969, 327.4430012702942)]"
adam,8,0.7,"[(0.08985714285714286, 0.30808119401242245, 383.9472737312317)]"
adam,8,0.8,"[(0.09264285714285714, 0.31004524329730954, 440.329735994339)]"
adam,8,0.9,"[(0.08821428571428569, 0.2981205084290245, 500.29754757881165)]"
adam,8,1.0,"[(0.09078571428571425, 0.30343553879392493, 531.2845973968506)]"
adam,9,0.01,"[(0.3798571428571429, 1.380755381608921, 5.965491533279419)]"
adam,9,0.1,"[(0.12642857142857145, 0.4314308702119679, 39.22519850730896)]"
adam,9,0.2,"[(0.10364285714285715, 0.35672380530286746, 98.83835983276367)]"
adam,9,0.3,"[(0.09607142857142859, 0.34538660169550844, 166.52413868904114)]"
adam,9,0.4,"[(0.09121428571428569, 0.3185278914157985, 238.9950830936432)]"
adam,9,0.5,"[(0.08892857142857147, 0.3125500523680503, 307.269739151001)]"
adam,9,0.6,"[(0.08614285714285719, 0.3027068570643421, 377.16792154312134)]"
adam,9,0.7,"[(0.08764285714285713, 0.3078916257410664, 448.4993748664856)]"
adam,9,0.8,"[(0.08357142857142852, 0.29664644455723027, 511.3297231197357)]"
adam,9,0.9,"[(0.08214285714285718, 0.28699120071397977, 562.2477178573608)]"
adam,9,1.0,"[(0.0824285714285714, 0.28849772637456783, 586.0980348587036)]"
adam,10,0.01,"[(0.37028571428571433, 1.3600478825365991, 7.164289236068726)]"
adam,10,0.1,"[(0.12342857142857144, 0.417339587388394, 50.80864715576172)]"
adam,10,0.2,"[(0.1051428571428571, 0.351462422624827, 105.17346930503845)]"
adam,10,0.3,"[(0.09757142857142853, 0.3270379653833726, 157.39966464042664)]"
adam,10,0.4,"[(0.09242857142857142, 0.3097107470790474, 212.6036856174469)]"
adam,10,0.5,"[(0.08735714285714291, 0.2940153896278769, 267.4644412994385)]"
adam,10,0.6,"[(0.08257142857142852, 0.28159292860969354, 321.36987376213074)]"
adam,10,0.7,"[(0.0812857142857143, 0.2812918187974386, 375.2414119243622)]"
adam,10,0.8,"[(0.08471428571428574, 0.2921954497080268, 430.29195189476013)]"
adam,10,0.9,"[(0.07821428571428568, 0.2696087330148343, 480.17057752609253)]"
adam,10,1.0,"[(0.07814285714285718, 0.27133036577167274, 514.8687884807587)]"
adam,11,0.01,"[(0.4027142857142857, 1.407674595087147, 7.849891424179077)]"
adam,11,0.1,"[(0.13235714285714284, 0.4422428331121641, 43.03685712814331)]"
adam,11,0.2,"[(0.10892857142857137, 0.35811364163914366, 104.95267581939697)]"
