checkpoint,mean,std,median,max,min
0.01,0.09215125436505324,0,0.09215125436505324,0.09215125436505324,0.09215125436505324
0.1,0.09132998382199754,0,0.09132998382199754,0.09132998382199754,0.09132998382199754
0.2,0.0925960070182459,0,0.0925960070182459,0.0925960070182459,0.0925960070182459
0.3,0.09334276912872279,0,0.09334276912872279,0.09334276912872279,0.09334276912872279
0.4,0.09264716912254291,0,0.09264716912254291,0.09264716912254291,0.09264716912254291
0.5,0.09144721324329169,0,0.09144721324329169,0.09144721324329169,0.09144721324329169
0.6,0.09102045155092245,0,0.09102045155092245,0.09102045155092245,0.09102045155092245
0.7,0.09121716324650625,0,0.09121716324650625,0.09121716324650625,0.09121716324650625
0.8,0.09106432693602359,0,0.09106432693602359,0.09106432693602359,0.09106432693602359
0.9,0.09194118869578263,0,0.09194118869578263,0.09194118869578263,0.09194118869578263
1.0,0.09188237769956242,0,0.09188237769956242,0.09188237769956242,0.09188237769956242
