algorithm,run,checkpoint,error
adam,6,0.7,"[(0.033333333333333326, 0.09064299949546879, 1.84891676902771)]"
adam,6,0.8,"[(0.033333333333333326, 0.09659573634048857, 2.112949848175049)]"
adam,6,0.9,"[(0.033333333333333326, 0.09631208980386279, 2.3767011165618896)]"
adam,6,1.0,"[(0.033333333333333326, 0.09847655325249562, 2.6388323307037354)]"
adam,7,0.01,"[(0.1333333333333333, 0.459581539110924, 0.027300596237182617)]"
adam,7,0.1,"[(0.0, 0.045293513849221166, 0.2640097141265869)]"
adam,7,0.2,"[(0.033333333333333326, 0.15953137960447503, 0.5266435146331787)]"
adam,7,0.3,"[(0.033333333333333326, 0.22598523280204164, 0.788947343826294)]"
adam,7,0.4,"[(0.033333333333333326, 0.21842335384087988, 1.0528764724731445)]"
adam,7,0.5,"[(0.06666666666666665, 0.1593398474105467, 1.3149895668029785)]"
adam,7,0.6,"[(0.06666666666666665, 0.3335676853534626, 1.5793700218200684)]"
adam,7,0.7,"[(0.06666666666666665, 0.18540615452952183, 1.8431529998779297)]"
adam,7,0.8,"[(0.033333333333333326, 0.04254596717034674, 2.1067676544189453)]"
adam,7,0.9,"[(0.033333333333333326, 0.03975287062818641, 2.370365619659424)]"
adam,7,1.0,"[(0.033333333333333326, 0.03850502977246208, 2.6344451904296875)]"
adam,8,0.01,"[(0.16666666666666663, 0.4607596261224398, 0.02713489532470703)]"
adam,8,0.1,"[(0.06666666666666665, 0.13315134346194016, 0.2629818916320801)]"
adam,8,0.2,"[(0.06666666666666665, 0.14055426634151788, 0.5240507125854492)]"
adam,8,0.3,"[(0.06666666666666665, 0.14645829473300503, 0.7851226329803467)]"
adam,8,0.4,"[(0.06666666666666665, 0.14553568677599482, 1.047898769378662)]"
adam,8,0.5,"[(0.06666666666666665, 0.137781365832957, 1.3075659275054932)]"
adam,8,0.6,"[(0.06666666666666665, 0.14134820856650315, 1.5684840679168701)]"
adam,8,0.7,"[(0.06666666666666665, 0.12533752667897466, 1.8292937278747559)]"
adam,8,0.8,"[(0.06666666666666665, 0.12506310173460056, 2.0898079872131348)]"
adam,8,0.9,"[(0.06666666666666665, 0.11183008879237456, 2.350559711456299)]"
adam,8,1.0,"[(0.06666666666666665, 0.11598180880737813, 2.6114776134490967)]"
adam,9,0.01,"[(0.16666666666666663, 0.4282800238256529, 0.027042388916015625)]"
adam,9,0.1,"[(0.1333333333333333, 0.5843846119984275, 0.2630462646484375)]"
adam,9,0.2,"[(0.1333333333333333, 0.9383669086198232, 0.5243475437164307)]"
adam,9,0.3,"[(0.1333333333333333, 1.1695467895428324, 0.7860074043273926)]"
adam,9,0.4,"[(0.1333333333333333, 1.3329398441546076, 1.049619436264038)]"
adam,9,0.5,"[(0.1333333333333333, 1.4562307085002693, 1.3096604347229004)]"
adam,9,0.6,"[(0.1333333333333333, 1.5667965975946243, 1.5710821151733398)]"
adam,9,0.7,"[(0.1333333333333333, 1.664346567069207, 1.8324251174926758)]"
adam,9,0.8,"[(0.1333333333333333, 1.7528838174787973, 2.0939390659332275)]"
adam,9,0.9,"[(0.1333333333333333, 1.8430010041011615, 2.3550503253936768)]"
adam,9,1.0,"[(0.1333333333333333, 1.925819296276061, 2.61666202545166)]"
adam,10,0.01,"[(0.06666666666666665, 0.44393446131178127, 0.02701568603515625)]"
adam,10,0.1,"[(0.0, 0.013691754026227597, 0.26279520988464355)]"
adam,10,0.2,"[(0.0, 0.009929154025961678, 0.523461103439331)]"
adam,10,0.3,"[(0.0, 0.009499454298869182, 0.783592939376831)]"
adam,10,0.4,"[(0.0, 0.010592473562807674, 1.0459892749786377)]"
adam,10,0.5,"[(0.0, 0.009537949774799537, 1.3066017627716064)]"
adam,10,0.6,"[(0.0, 0.008100402142141501, 1.568737268447876)]"
adam,10,0.7,"[(0.0, 0.01196812976352821, 1.8307759761810303)]"
adam,10,0.8,"[(0.0, 0.012429864050508077, 2.0927000045776367)]"
adam,10,0.9,"[(0.0, 0.018950423069726625, 2.3544394969940186)]"
adam,10,1.0,"[(0.0, 0.022261189837123867, 2.616168737411499)]"
adam,11,0.01,"[(0.33333333333333337, 0.49774090113177555, 0.02704143524169922)]"
adam,11,0.1,"[(0.0, 0.005974285996567861, 0.2635769844055176)]"
adam,11,0.2,"[(0.0, 0.0018816690587396983, 0.5256831645965576)]"
adam,11,0.3,"[(0.0, 0.0010270660631451357, 0.7877664566040039)]"
adam,11,0.4,"[(0.0, 0.0007868984239957467, 1.0507056713104248)]"
adam,11,0.5,"[(0.0, 0.0007325078435441362, 1.3118886947631836)]"
adam,11,0.6,"[(0.0, 0.0007533667963818984, 1.574514389038086)]"
adam,11,0.7,"[(0.0, 0.0007696246829765629, 1.8365929126739502)]"
adam,11,0.8,"[(0.0, 0.0008609143959456977, 2.0989530086517334)]"
adam,11,0.9,"[(0.0, 0.0009369661231816764, 2.361119508743286)]"
adam,11,1.0,"[(0.0, 0.0010129858169208405, 2.6236047744750977)]"
adam,12,0.01,"[(0.2666666666666667, 0.5451011429408873, 0.02696537971496582)]"
adam,12,0.1,"[(0.09999999999999998, 0.2376321731342015, 0.26153111457824707)]"
adam,12,0.2,"[(0.09999999999999998, 0.25756527947443203, 0.5214085578918457)]"
adam,12,0.3,"[(0.09999999999999998, 0.2102173349272968, 0.782463788986206)]"
adam,12,0.4,"[(0.06666666666666665, 0.13621295286421742, 1.0445044040679932)]"
adam,12,0.5,"[(0.06666666666666665, 0.12152607610668222, 1.304058313369751)]"
adam,12,0.6,"[(0.06666666666666665, 0.1210575535568676, 1.5655021667480469)]"
adam,12,0.7,"[(0.06666666666666665, 0.13346857813500643, 1.8266913890838623)]"
adam,12,0.8,"[(0.06666666666666665, 0.11797968666609222, 2.0877468585968018)]"
adam,12,0.9,"[(0.06666666666666665, 0.13420804604318962, 2.3485937118530273)]"
adam,12,1.0,"[(0.06666666666666665, 0.12702526510614665, 2.6096510887145996)]"
adam,13,0.01,"[(0.06666666666666665, 0.4186658216992398, 0.02696371078491211)]"
adam,13,0.1,"[(0.033333333333333326, 0.15307969835983337, 0.26195526123046875)]"
